,battery_usable_per_sum_consumption,battery_usable_per_sum_pv,grid_fee_max_load_peak,list_battery_num_annual_cycles,list_battery_proportion_hourly_max_load,list_battery_usable_max_state,pv_annual_total,pv_consumed_percentage,static_grid_fees,ts__consumption_load_kwh_mean,ts__consumption_load_kwh_peak_to_mean,ts__consumption_pv_pearson,ts__usage_hours
battery_usable_per_sum_consumption,1.0,-0.01672877738616437,-0.034805199406978,-0.0036018611033752767,-0.0021933523993131186,0.6902870073189985,-0.01069724535221073,-0.031194792463849493,-0.045620116121072654,-0.0057759182342235,-0.014433234944699967,0.10289693209965198,0.0005748424008291659
battery_usable_per_sum_pv,-0.01672877738616437,1.0,0.11644799644042676,-0.018491615408606044,-0.026714258733089944,0.24094293904055794,-0.13365601008360498,0.13799637515129337,-0.1433223008728093,0.18401322641276405,-0.05003036092633791,-0.057196893550083665,0.015456217670570298
grid_fee_max_load_peak,-0.034805199406978,0.11644799644042676,1.0,-0.01862645593943642,-0.13464741540128664,-0.04264620629861397,-0.14641837095480592,0.101901157076218,-0.6780972524841252,0.08666736239269221,-0.3234129475983899,-0.14447271166746892,0.013575756094890866
list_battery_num_annual_cycles,-0.0036018611033752767,-0.018491615408606044,-0.01862645593943642,1.0,0.17675480121226125,-0.006930546813500593,0.018754142307992185,0.00813961447201412,0.0004697357351986275,-0.00647903625925797,0.020322153894374348,0.04396845478712313,0.008563845285333131
list_battery_proportion_hourly_max_load,-0.0021933523993131186,-0.026714258733089944,-0.13464741540128664,0.17675480121226125,1.0,-0.01340484175778825,-0.026520562035459407,-0.048803367297718475,0.06910760814331844,-0.02933192512473293,0.2925681779528574,0.03451608925669714,0.0034424702497999294
list_battery_usable_max_state,0.6902870073189985,0.24094293904055794,-0.04264620629861397,-0.006930546813500593,-0.01340484175778825,1.0,0.046029076030965885,-0.05695056046931182,-0.08658893540922089,0.11373203900871824,-0.051669450915786126,-0.09729590381043396,0.006959787661503771
pv_annual_total,-0.01069724535221073,-0.13365601008360498,-0.14641837095480592,0.018754142307992185,-0.026520562035459407,0.046029076030965885,1.0,0.17729608754061796,0.1534041451034348,0.04767579239722707,-0.059441762560051556,-0.0701668179226392,0.013704227758648154
pv_consumed_percentage,-0.031194792463849493,0.13799637515129337,0.101901157076218,0.00813961447201412,-0.048803367297718475,-0.05695056046931182,0.17729608754061796,1.0,-0.08096869139328111,0.006705494102997831,-0.2136854523061054,0.06465574981893286,0.07175095216576606
static_grid_fees,-0.045620116121072654,-0.1433223008728093,-0.6780972524841252,0.0004697357351986275,0.06910760814331844,-0.08658893540922089,0.1534041451034348,-0.08096869139328111,1.0,-0.14561310303876646,0.43004154944028383,0.19531374875672394,-0.007418803991201433
ts__consumption_load_kwh_mean,-0.0057759182342235,0.18401322641276405,0.08666736239269221,-0.00647903625925797,-0.02933192512473293,0.11373203900871824,0.04767579239722707,0.006705494102997831,-0.14561310303876646,1.0,-0.14032608975261762,-0.11070869716312524,0.01813159748587979
ts__consumption_load_kwh_peak_to_mean,-0.014433234944699967,-0.05003036092633791,-0.3234129475983899,0.020322153894374348,0.2925681779528574,-0.051669450915786126,-0.059441762560051556,-0.2136854523061054,0.43004154944028383,-0.14032608975261762,1.0,0.21787904745925804,0.0028281026182648706
ts__consumption_pv_pearson,0.10289693209965198,-0.057196893550083665,-0.14447271166746892,0.04396845478712313,0.03451608925669714,-0.09729590381043396,-0.0701668179226392,0.06465574981893286,0.19531374875672394,-0.11070869716312524,0.21787904745925804,1.0,0.11970287273430029
ts__usage_hours,0.0005748424008291659,0.015456217670570298,0.013575756094890866,0.008563845285333131,0.0034424702497999294,0.006959787661503771,0.013704227758648154,0.07175095216576606,-0.007418803991201433,0.01813159748587979,0.0028281026182648706,0.11970287273430029,1.0
